date,coin_target,post_count,vader_mean,finbert_mean,composite_mean,zscore_mean,weighted_mean,engagement_mean,upvotes_total,comments_total
2026-03-30,DOGE,18,0.08873888888888888,-0.02118183333333333,0.011794444444444448,-0.3266276666666667,0.10031577777777777,3.4482535,147,163
2026-03-30,ETH,8,-0.07287500000000001,-0.024150875000000002,-0.038768375,-0.34403849999999997,0.047529750000000016,3.382808625,142,43
2026-03-30,MARKET,427,0.03160702576112412,-0.12695067915690866,-0.0793834074941452,-0.12957111241217797,-0.29570644028103044,3.5069362950819674,41002,37433
2026-03-30,SHIB,3,0.31966666666666665,0.156725,0.20560733333333334,0.3484986666666667,1.0810613333333334,4.166124333333333,31,10
2026-03-30,SOL,61,0.32851639344262296,0.04875290163934426,0.13268196721311476,0.04428968852459017,0.4500912786885246,3.049694081967213,165,182
2026-03-31,BNB,14,0.20585,0.004121857142857145,0.06464028571428572,0.06310292857142856,0.08877964285714286,2.5127524285714284,21,39
2026-03-31,BTC,97,0.12318969072164947,-0.04568469072164949,0.004977618556701035,-0.15064849484536083,0.012799752577319584,3.088574298969072,1383,814
2026-03-31,DOGE,9,0.061288888888888886,-0.005385333333333341,0.014616888888888901,-0.31299144444444443,0.04120511111111109,3.627069777777778,133,59
2026-03-31,ETH,20,0.14326500000000003,-0.07782775,-0.0115,-0.23447269999999998,0.019592999999999982,3.7845682500000004,294,165
2026-03-31,MARKET,474,0.07739430379746835,-0.10416654219409283,-0.04969831434599156,-0.026723261603375518,-0.1680292046413502,3.6728089092827005,32890,37881
2026-03-31,SHIB,3,0.16843333333333332,0.2582913333333333,0.231334,0.47050300000000006,0.4516273333333333,1.8283019999999999,6,0
2026-03-31,SOL,49,0.25666326530612243,0.02681812244897959,0.0957717142857143,-0.11119414285714287,0.3295969183673469,2.973174081632653,94,160
2026-04-01,BNB,24,0.054370833333333334,-0.14617054166666665,-0.08600799999999999,-0.4655826250000001,-0.14391070833333333,1.9671439166666669,24,16
2026-04-01,BTC,70,0.20852285714285715,-0.09029861428571428,-0.0006521285714285746,-0.17233715714285713,0.0738685,3.5192611,1492,814
2026-04-01,DOGE,12,0.28755,-0.011905249999999997,0.07793133333333334,-0.0070965833333333506,0.4713988333333334,4.6408310833333335,267,87
2026-04-01,ETH,11,0.2737090909090909,-0.017652909090909094,0.06975554545454546,0.09201654545454542,0.342177,3.400998,130,99
2026-04-01,MARKET,474,0.07233776371308016,-0.13090674683544304,-0.06993339873417723,-0.09683035654008439,-0.21715945147679322,3.2352543248945147,41432,42111
2026-04-01,SHIB,6,0.25161666666666666,-0.15900816666666667,-0.03582066666666667,-0.7964315000000001,0.35042100000000004,3.9480295,126,55
2026-04-01,SOL,53,0.1646867924528302,0.039900584905660376,0.07733650943396227,-0.1888520754716981,0.3225597358490566,3.2633354150943394,207,146
2026-04-02,BNB,10,0.037310000000000024,-0.01177919999999999,0.0029475999999999947,-0.15340139999999997,-0.04803799999999999,2.4296333999999997,7,33
2026-04-02,BTC,91,0.24707362637362637,-0.023897263736263736,0.05739403296703296,0.05128538461538461,0.356911054945055,3.58751278021978,1784,900
2026-04-02,DOGE,9,0.5938777777777777,0.061492000000000005,0.22120788888888887,0.6851236666666667,0.9273013333333334,4.177973111111111,158,63
2026-04-02,ETH,11,0.2059,0.07314954545454545,0.11297463636363636,0.26567327272727276,0.43510709090909094,3.311672727272727,132,84
2026-04-02,MARKET,464,0.12052284482758621,-0.08501845258620688,-0.02335609698275862,0.06454279525862071,-0.06519354094827587,3.2536800560344825,20093,24815
2026-04-02,SHIB,4,0.1457,0.0973105,0.111827,-0.09623824999999998,0.18934,1.693147,4,0
2026-04-02,SOL,49,0.23875102040816326,0.023829714285714287,0.08830608163265305,-0.1426430204081633,0.34443412244897964,3.249641306122449,200,178
2026-04-03,BNB,10,0.47252,-0.019502600000000002,0.1281041,0.285823,0.2376372,1.8317764,10,2
2026-04-03,BTC,91,0.18617142857142857,-0.012381153846153846,0.047184648351648345,0.011953846153846155,0.08129085714285715,1.7052196593406592,91,2
2026-04-03,DOGE,8,0.2351,-0.013895125000000001,0.06080337500000001,-0.08984812499999995,0.04917662500000003,1.779790375,8,1
2026-04-03,ETH,13,0.2281923076923077,0.041688615384615386,0.09763976923076924,0.204057,0.20502953846153846,2.0663799999999997,13,7
2026-04-03,MARKET,375,0.06935573333333334,-0.080426168,-0.03549164266666667,0.022497642666666675,-0.07233134933333334,2.0158514613333334,377,178
2026-04-03,SHIB,1,0.2023,0.180833,0.187273,0.261551,0.317081,1.693147,1,0
2026-04-03,SOL,50,0.190524,0.03706822,0.08310496,-0.16455258,0.20467268,2.4268405,51,54
2026-04-04,BNB,15,0.5105533333333333,0.027068866666666667,0.17211426666666665,0.44027246666666664,0.15379379999999998,2.5202834666666667,37,35
2026-04-04,BTC,77,0.13142467532467533,-0.03909063636363636,0.012063948051948053,-0.12334845454545457,0.19413544155844156,2.7398444155844155,381,560
2026-04-04,DOGE,4,0.1612,-0.17055625000000002,-0.0710295,-0.72678,-0.10290774999999999,4.56117275,112,34
2026-04-04,ETH,5,0.17036,0.015229600000000001,0.06176859999999999,0.059924599999999995,0.014163399999999982,3.6595452,44,15
2026-04-04,MARKET,281,0.05490177935943061,-0.06257914590747331,-0.02733490747330961,0.05075771530249111,-0.097625512455516,2.536079135231317,16008,1853
2026-04-04,SHIB,1,0.8683,0.118816,0.343661,1.003194,0.581869,1.693147,1,0
2026-04-04,SOL,46,0.34476521739130433,0.0350909347826087,0.12799328260869566,0.024538630434782598,0.2835240652173913,2.9865719347826087,129,166
2026-04-05,BNB,10,0.30361,0.035852300000000004,0.11617950000000002,0.2439748,0.17153649999999998,2.5014799,14,21
2026-04-05,BTC,55,0.12170181818181817,-0.010341690909090909,0.029271418181818186,-0.05705678181818185,0.1800532909090909,3.9008176363636364,3308,1014
2026-04-05,DOGE,13,0.2043846153846154,-0.002313999999999997,0.05969561538461539,-0.0952,0.1703014615384615,3.741545307692308,393,54
2026-04-05,ETH,7,0.5872,-0.06675614285714286,0.12943057142857145,0.33179414285714287,0.6892804285714286,4.601264571428572,152,58
2026-04-05,MARKET,322,0.0530972049689441,-0.10398212111801242,-0.05685833850931677,-0.05153006521739129,-0.23274566149068324,3.168440810559006,21491,14926
2026-04-05,SHIB,1,0.0,-0.034007,-0.023805,-0.739449,-0.040305,1.693147,1,0
2026-04-05,SOL,37,0.306827027027027,0.021555054054054057,0.10713664864864865,-0.06331951351351352,0.28611167567567564,3.0219995945945946,88,112
2026-04-06,BNB,19,-0.15283684210526313,-0.13588905263157894,-0.14097342105263158,-0.6584783157894737,-0.2016602105263158,2.6107875263157894,29,53
2026-04-06,BTC,65,0.19524,0.008716276923076922,0.06467335384615384,0.07932890769230769,0.1598763230769231,3.930105353846154,1884,1153
2026-04-06,DOGE,3,0.0086,0.040315000000000004,0.030800333333333332,-0.23480366666666666,0.075769,5.8829036666666665,117,39
2026-04-06,ETH,15,0.4014466666666667,-0.08655433333333334,0.05984599999999999,0.0521993333333333,0.2800396,3.5664141999999996,146,81
2026-04-06,MARKET,343,0.06163090379008747,-0.08000419825072887,-0.037513664723032074,0.015492061224489803,-0.2040087055393586,3.2575836297376095,29787,31440
2026-04-06,SOL,39,0.20596666666666666,0.011725307692307693,0.06999774358974359,-0.21976646153846155,0.26354658974358974,3.0708178205128203,99,114
2026-04-07,BNB,8,0.03876250000000002,0.017474375,0.023861,-0.08000787499999999,-0.06590087500000001,2.1410869999999997,11,6
2026-04-07,BTC,95,0.13737368421052631,0.014557747368421055,0.05140245263157894,0.028202863157894744,0.12834144210526316,3.108068789473684,1616,647
