indicator,indicator_name,date,open,high,low,close,volume
SP500,S&P 500,2025-11-19,6625.83984375,6689.75,6603.5,6642.16015625,5021610000.0
SP500,S&P 500,2025-11-20,6737.93017578125,6770.35009765625,6534.0498046875,6538.759765625,5596080000.0
SP500,S&P 500,2025-11-21,6555.77001953125,6660.0498046875,6521.919921875,6602.990234375,5929930000.0
SP500,S&P 500,2025-11-24,6636.5400390625,6715.75,6630.7001953125,6705.1201171875,6039740000.0
SP500,S&P 500,2025-11-25,6697.02978515625,6776.39990234375,6659.97998046875,6765.8798828125,5003330000.0
SP500,S&P 500,2025-11-26,6793.5498046875,6831.43994140625,6783.8701171875,6812.60986328125,4485000000.0
SP500,S&P 500,2025-11-28,6822.52001953125,6850.85986328125,6819.75,6849.08984375,2558540000.0
SP500,S&P 500,2025-12-01,6812.2998046875,6843.64990234375,6799.93994140625,6812.6298828125,4549370000.0
SP500,S&P 500,2025-12-02,6830.9599609375,6851.5498046875,6806.7099609375,6829.3701171875,4582290000.0
SP500,S&P 500,2025-12-03,6815.2900390625,6862.419921875,6810.43017578125,6849.72021484375,4736780000.0
SP500,S&P 500,2025-12-04,6866.47021484375,6866.47021484375,6827.1201171875,6857.1201171875,4872440000.0
SP500,S&P 500,2025-12-05,6866.31982421875,6895.77978515625,6858.2900390625,6870.39990234375,4944560000.0
SP500,S&P 500,2025-12-08,6875.2001953125,6878.27001953125,6827.18994140625,6846.509765625,4757130000.0
SP500,S&P 500,2025-12-09,6840.60986328125,6864.919921875,6837.43017578125,6840.509765625,4508050000.0
SP500,S&P 500,2025-12-10,6833.490234375,6900.669921875,6824.68994140625,6886.68017578125,5526570000.0
SP500,S&P 500,2025-12-11,6861.2998046875,6903.4599609375,6833.4501953125,6901.0,5021060000.0
SP500,S&P 500,2025-12-12,6886.85009765625,6899.85009765625,6801.7900390625,6827.41015625,4910160000.0
SP500,S&P 500,2025-12-15,6860.18994140625,6861.58984375,6801.490234375,6816.509765625,4975600000.0
SP500,S&P 500,2025-12-16,6800.1201171875,6819.27001953125,6759.740234375,6800.259765625,4983180000.0
SP500,S&P 500,2025-12-17,6802.8798828125,6812.259765625,6720.43017578125,6721.43017578125,5122120000.0
SP500,S&P 500,2025-12-18,6778.06005859375,6816.1298828125,6758.5,6774.759765625,5101190000.0
